at,userName,score,content,cleaning,case_folding,normalisasi,tokenize,stopword_removal,steming_data,content_length,Sentiment
2025-10-21 04:42:43,Pengguna Google,5,"very good,i learn so much English with it",very goodi learn so much English with it,very goodi learn so much english with it,very goodi learn sok much english with itu,"['very', 'goodi', 'learn', 'sok', 'much', 'english', 'with', 'itu']","['very', 'goodi', 'learn', 'sok', 'much', 'english', 'with']",very goodi learn sok much english with,40,Negatif
2025-10-21 04:32:10,Pengguna Google,5,keren ni,keren ni,keren ni,keren nih,"['keren', 'nih']","['keren', 'nih']",keren nih,8,Netral
2025-10-21 04:11:37,Pengguna Google,3,"aplikasi sih udah bagus, tapi ya karena energinya mudah habis, jadi harus nunggu dulu agar bisa main, dan itu sangat meresahkan 😓",aplikasi sih udah bagus tapi ya karena energinya mudah habis jadi harus nunggu dulu agar bisa main dan itu sangat meresahkan ,aplikasi sih udah bagus tapi ya karena energinya mudah habis jadi harus nunggu dulu agar bisa main dan itu sangat meresahkan ,aplikasi sih sudah bagus tapi ya karena energinya mudah habis jadi harus menunggu dulu agar bisa main dan itu sangat meresahkan,"['aplikasi', 'sih', 'sudah', 'bagus', 'tapi', 'ya', 'karena', 'energinya', 'mudah', 'habis', 'jadi', 'harus', 'menunggu', 'dulu', 'agar', 'bisa', 'main', 'dan', 'itu', 'sangat', 'meresahkan']","['aplikasi', 'sih', 'bagus', 'ya', 'energinya', 'mudah', 'habis', 'menunggu', 'main', 'meresahkan']",aplikasi sih bagus ya energi mudah habis tunggu main resah,125,Positif
2025-10-21 03:50:09,Pengguna Google,5,"menyenangkan dan menantang, aplikasi yg bagus untuk belajar anak2 atau orang tua yg baru memulai",menyenangkan dan menantang aplikasi yg bagus untuk belajar anak atau orang tua yg baru memulai,menyenangkan dan menantang aplikasi yg bagus untuk belajar anak atau orang tua yg baru memulai,menyenangkan dan menantang aplikasi yang bagus untuk belajar anak atau orang tua yang baru memulai,"['menyenangkan', 'dan', 'menantang', 'aplikasi', 'yang', 'bagus', 'untuk', 'belajar', 'anak', 'atau', 'orang', 'tua', 'yang', 'baru', 'memulai']","['menyenangkan', 'menantang', 'aplikasi', 'bagus', 'belajar', 'anak', 'orang', 'tua']",senang tantang aplikasi bagus ajar anak orang tua,94,Positif
2025-10-21 03:43:52,Pengguna Google,4,rutin belajar pasti bisa,rutin belajar pasti bisa,rutin belajar pasti bisa,rutin belajar pasti bisa,"['rutin', 'belajar', 'pasti', 'bisa']","['rutin', 'belajar']",rutin ajar,24,Positif
2025-10-21 03:35:13,Pengguna Google,5,santai dan mudah dari dasar,santai dan mudah dari dasar,santai dan mudah dari dasar,santai dan mudah dari dasar,"['santai', 'dan', 'mudah', 'dari', 'dasar']","['santai', 'mudah', 'dasar']",santai mudah dasar,27,Positif
2025-10-21 02:46:38,Pengguna Google,5,sangat bagusss untuk belajar bahasa Inggris untuk pemula 🙏🤩🤩🤩🥳🥳🥳🥳,sangat bagusss untuk belajar bahasa Inggris untuk pemula ,sangat bagusss untuk belajar bahasa inggris untuk pemula ,sangat bagus untuk belajar bahasa inggris untuk pemula,"['sangat', 'bagus', 'untuk', 'belajar', 'bahasa', 'inggris', 'untuk', 'pemula']","['bagus', 'belajar', 'bahasa', 'inggris', 'pemula']",bagus ajar bahasa inggris mula,57,Positif
2025-10-21 02:33:36,Pengguna Google,5,"bagus banget apk nya, saya jadi bisa belajar bahasa",bagus banget apk nya saya jadi bisa belajar bahasa,bagus banget apk nya saya jadi bisa belajar bahasa,bagus banget apk ya saya jadi bisa belajar bahasa,"['bagus', 'banget', 'apk', 'ya', 'saya', 'jadi', 'bisa', 'belajar', 'bahasa']","['bagus', 'banget', 'apk', 'ya', 'belajar', 'bahasa']",bagus banget apk ya ajar bahasa,50,Positif
2025-10-21 02:26:57,Pengguna Google,1,"Ada indikasi dukungan LGBT, saat percakapan/berdialog, ada dua karakter cewek yg malah dikatakan bahwa meraka berpacaran 👎",Ada indikasi dukungan LGBT saat percakapanberdialog ada dua karakter cewek yg malah dikatakan bahwa meraka berpacaran ,ada indikasi dukungan lgbt saat percakapanberdialog ada dua karakter cewek yg malah dikatakan bahwa meraka berpacaran ,ada indikasi dukungan lgbt saat percakapanberdialog ada dua karakter cewek yang malah dikatakan bahwa meraka berpacaran,"['ada', 'indikasi', 'dukungan', 'lgbt', 'saat', 'percakapanberdialog', 'ada', 'dua', 'karakter', 'cewek', 'yang', 'malah', 'dikatakan', 'bahwa', 'meraka', 'berpacaran']","['indikasi', 'dukungan', 'lgbt', 'percakapanberdialog', 'karakter', 'cewek', 'meraka', 'berpacaran']",indikasi dukung lgbt percakapanberdialog karakter cewek raka pacar,118,Netral
2025-10-21 02:19:26,Pengguna Google,5,sangat bagus untuk pelajar,sangat bagus untuk pelajar,sangat bagus untuk pelajar,sangat bagus untuk pelajar,"['sangat', 'bagus', 'untuk', 'pelajar']","['bagus', 'pelajar']",bagus ajar,26,Positif
2025-10-21 02:11:09,Pengguna Google,5,muach,muach,muach,muach,['muach'],['muach'],muach,5,Netral
2025-10-21 02:09:16,Pengguna Google,1,Streak saya hilang karena bug padahal udah ngerjain,Streak saya hilang karena bug padahal udah ngerjain,streak saya hilang karena bug padahal udah ngerjain,streak saya hilang karena bug padahal sudah ngerjain,"['streak', 'saya', 'hilang', 'karena', 'bug', 'padahal', 'sudah', 'ngerjain']","['streak', 'hilang', 'bug', 'ngerjain']",streak hilang bug ngerjain,51,Netral
2025-10-21 01:57:42,Pengguna Google,5,😎,,,,[],[],,0,Netral
2025-10-21 01:52:05,Pengguna Google,4,POKONYAA THE BESTT,POKONYAA THE BESTT,pokonyaa the bestt,pokonyaa the bestt,"['pokonyaa', 'the', 'bestt']","['pokonyaa', 'the', 'bestt']",pokonyaa the bestt,18,Negatif
2025-10-21 01:41:17,Pengguna Google,5,sangat bagus untuk belajar bahasa,sangat bagus untuk belajar bahasa,sangat bagus untuk belajar bahasa,sangat bagus untuk belajar bahasa,"['sangat', 'bagus', 'untuk', 'belajar', 'bahasa']","['bagus', 'belajar', 'bahasa']",bagus ajar bahasa,33,Positif
2025-10-21 01:35:10,Pengguna Google,5,sangat mudah dipelajari seru dan unik,sangat mudah dipelajari seru dan unik,sangat mudah dipelajari seru dan unik,sangat mudah dipelajari seru dan unik,"['sangat', 'mudah', 'dipelajari', 'seru', 'dan', 'unik']","['mudah', 'dipelajari', 'seru', 'unik']",mudah ajar seru unik,37,Positif
2025-10-21 01:32:39,Pengguna Google,1,Saya selalu benar menjawab tapi hati saya hilang. apa aplikasi eror? tolong kembalikan energi/hatinya.,Saya selalu benar menjawab tapi hati saya hilang apa aplikasi eror tolong kembalikan energihatinya,saya selalu benar menjawab tapi hati saya hilang apa aplikasi eror tolong kembalikan energihatinya,saya selalu benar menjawab tapi hati saya hilang apa aplikasi eror tolong kembalikan energihatinya,"['saya', 'selalu', 'benar', 'menjawab', 'tapi', 'hati', 'saya', 'hilang', 'apa', 'aplikasi', 'eror', 'tolong', 'kembalikan', 'energihatinya']","['hati', 'hilang', 'aplikasi', 'eror', 'tolong', 'kembalikan', 'energihatinya']",hati hilang aplikasi eror tolong kembali energihatinya,98,Negatif
2025-10-21 01:21:58,Pengguna Google,5,U really built so perfect. All kids should have some time to use this app and finish at least 1 course.,U really built so perfect All kids should have some time to use this app and finish at least  course,u really built so perfect all kids should have some time to use this app and finish at least  course,lu really built sok perfect all kids should have some time tapi use this app and finish at least course,"['lu', 'really', 'built', 'sok', 'perfect', 'all', 'kids', 'should', 'have', 'some', 'time', 'tapi', 'use', 'this', 'app', 'and', 'finish', 'at', 'least', 'course']","['lu', 'really', 'built', 'sok', 'perfect', 'all', 'kids', 'should', 'have', 'some', 'time', 'use', 'this', 'app', 'and', 'finish', 'at', 'least', 'course']",lu really built sok perfect all kids should have some time use this app and finish at least course,100,Negatif
2025-10-21 01:17:48,Pengguna Google,5,"sangat membantu,,thank Duolingo,, dan terus kembang,",sangat membantuthank Duolingo dan terus kembang,sangat membantuthank duolingo dan terus kembang,sangat membantuthank duolingo dan terus kembang,"['sangat', 'membantuthank', 'duolingo', 'dan', 'terus', 'kembang']","['membantuthank', 'duolingo', 'kembang']",membantuthank duolingo kembang,47,Positif
2025-10-21 00:55:38,Pengguna Google,4,bagus sih tapi kadang kadang sama dengan yang sebelumnya,bagus sih tapi kadang kadang sama dengan yang sebelumnya,bagus sih tapi kadang kadang sama dengan yang sebelumnya,bagus sih tapi kadang kadang sama dengan yang sebelumnya,"['bagus', 'sih', 'tapi', 'kadang', 'kadang', 'sama', 'dengan', 'yang', 'sebelumnya']","['bagus', 'sih', 'kadang', 'kadang']",bagus sih kadang kadang,56,Positif
2025-10-21 00:46:06,Pengguna Google,5,karna kita bisa belajar jadi aku beri rating limaa,karna kita bisa belajar jadi aku beri rating limaa,karna kita bisa belajar jadi aku beri rating limaa,karena kita bisa belajar jadi aku beri rating limaa,"['karena', 'kita', 'bisa', 'belajar', 'jadi', 'aku', 'beri', 'rating', 'limaa']","['belajar', 'rating', 'limaa']",ajar rating limaa,50,Positif
2025-10-21 00:39:15,Pengguna Google,1,aplikasi kapitalis makin kesini makin pelit aja,aplikasi kapitalis makin kesini makin pelit aja,aplikasi kapitalis makin kesini makin pelit aja,aplikasi kapitalis makin kesini makin pelit saja,"['aplikasi', 'kapitalis', 'makin', 'kesini', 'makin', 'pelit', 'saja']","['aplikasi', 'kapitalis', 'kesini', 'pelit']",aplikasi kapitalis kesini pelit,47,Negatif
2025-10-21 00:31:48,Pengguna Google,5,bagus..anak2 bisa belajar tiap hari dengan menyenangkan,bagusanak bisa belajar tiap hari dengan menyenangkan,bagusanak bisa belajar tiap hari dengan menyenangkan,bagusanak bisa belajar tiap hari dengan menyenangkan,"['bagusanak', 'bisa', 'belajar', 'tiap', 'hari', 'dengan', 'menyenangkan']","['bagusanak', 'belajar', 'menyenangkan']",bagusanak ajar senang,52,Positif
2025-10-21 00:22:47,Pengguna Google,5,"keren bisa buat isi waktu, dan tambah pembelajaran, ga sia sia install ini🤍",keren bisa buat isi waktu dan tambah pembelajaran ga sia sia install ini,keren bisa buat isi waktu dan tambah pembelajaran ga sia sia install ini,keren bisa buat isi waktu dan tambah pembelajaran tidak sia sia install ini,"['keren', 'bisa', 'buat', 'isi', 'waktu', 'dan', 'tambah', 'pembelajaran', 'tidak', 'sia', 'sia', 'install', 'ini']","['keren', 'isi', 'pembelajaran', 'sia', 'sia', 'install']",keren isi ajar sia sia install,72,Positif
2025-10-21 00:15:55,Pengguna Google,5,sukaa dan bisa lebih belajar mendalam bahasa Inggris,sukaa dan bisa lebih belajar mendalam bahasa Inggris,sukaa dan bisa lebih belajar mendalam bahasa inggris,suka dan bisa lebih belajar mendalam bahasa inggris,"['suka', 'dan', 'bisa', 'lebih', 'belajar', 'mendalam', 'bahasa', 'inggris']","['suka', 'belajar', 'mendalam', 'bahasa', 'inggris']",suka ajar dalam bahasa inggris,52,Positif
2025-10-21 00:06:49,Pengguna Google,4,why there's no chess course in my Duolingo?,why theres no chess course in my Duolingo,why theres no chess course in my duolingo,why theres no chess course ini my duolingo,"['why', 'theres', 'no', 'chess', 'course', 'ini', 'my', 'duolingo']","['why', 'theres', 'no', 'chess', 'course', 'my', 'duolingo']",why theres no chess course my duolingo,41,Negatif
2025-10-20 23:50:57,Pengguna Google,5,sangat baikk,sangat baikk,sangat baikk,sangat baik,"['sangat', 'baik']",[],,12,Netral
2025-10-20 23:47:16,Pengguna Google,5,belajar Inggris jadi menyenangkan,belajar Inggris jadi menyenangkan,belajar inggris jadi menyenangkan,belajar inggris jadi menyenangkan,"['belajar', 'inggris', 'jadi', 'menyenangkan']","['belajar', 'inggris', 'menyenangkan']",ajar inggris senang,33,Positif
2025-10-20 23:38:16,Pengguna Google,5,karena seru untuk belajar semua bahasa gk perlu repot repot,karena seru untuk belajar semua bahasa gk perlu repot repot,karena seru untuk belajar semua bahasa gk perlu repot repot,karena seru untuk belajar semua bahasa tidak perlu repot repot,"['karena', 'seru', 'untuk', 'belajar', 'semua', 'bahasa', 'tidak', 'perlu', 'repot', 'repot']","['seru', 'belajar', 'bahasa', 'repot', 'repot']",seru ajar bahasa repot repot,59,Positif
2025-10-20 23:31:10,Pengguna Google,3,"gak jelas, katanya maintenance break jadi gak hilang streak nya tapi pas keesokan harinya udah jadi beku streak aku gak jelas",gak jelas katanya maintenance break jadi gak hilang streak nya tapi pas keesokan harinya udah jadi beku streak aku gak jelas,gak jelas katanya maintenance break jadi gak hilang streak nya tapi pas keesokan harinya udah jadi beku streak aku gak jelas,tidak jelas katanya maintenance break jadi tidak hilang streak ya tapi pas keesokan harinya sudah jadi beku streak aku tidak jelas,"['tidak', 'jelas', 'katanya', 'maintenance', 'break', 'jadi', 'tidak', 'hilang', 'streak', 'ya', 'tapi', 'pas', 'keesokan', 'harinya', 'sudah', 'jadi', 'beku', 'streak', 'aku', 'tidak', 'jelas']","['maintenance', 'break', 'hilang', 'streak', 'ya', 'pas', 'keesokan', 'harinya', 'beku', 'streak']",maintenance break hilang streak ya pas esok hari beku streak,124,Netral
2025-10-20 23:29:33,Pengguna Google,5,berkat duolingo nilai bahasa Inggris ku di sekolah meningkat makasih ya DUOLINGO,berkat duolingo nilai bahasa Inggris ku di sekolah meningkat makasih ya DUOLINGO,berkat duolingo nilai bahasa inggris ku di sekolah meningkat makasih ya duolingo,berkat duolingo nilai bahasa inggris ku di sekolah meningkat ya duolingo,"['berkat', 'duolingo', 'nilai', 'bahasa', 'inggris', 'ku', 'di', 'sekolah', 'meningkat', 'ya', 'duolingo']","['berkat', 'duolingo', 'nilai', 'bahasa', 'inggris', 'ku', 'sekolah', 'meningkat', 'ya', 'duolingo']",berkat duolingo nilai bahasa inggris ku sekolah tingkat ya duolingo,80,Positif
2025-10-20 23:23:32,Pengguna Google,4,bagus bisa melatih kita,bagus bisa melatih kita,bagus bisa melatih kita,bagus bisa melatih kita,"['bagus', 'bisa', 'melatih', 'kita']","['bagus', 'melatih']",bagus latih,23,Positif
2025-10-20 23:23:04,Pengguna Google,5,"sangat membantu dalam mempelajari kosa kata bahasa inggris, dan membuat kita paham dengan bahasa sehari hari dalam bahasa inggris",sangat membantu dalam mempelajari kosa kata bahasa inggris dan membuat kita paham dengan bahasa sehari hari dalam bahasa inggris,sangat membantu dalam mempelajari kosa kata bahasa inggris dan membuat kita paham dengan bahasa sehari hari dalam bahasa inggris,sangat membantu dalam mempelajari kosa kata bahasa inggris dan membuat kita paham dengan bahasa sehari hari dalam bahasa inggris,"['sangat', 'membantu', 'dalam', 'mempelajari', 'kosa', 'kata', 'bahasa', 'inggris', 'dan', 'membuat', 'kita', 'paham', 'dengan', 'bahasa', 'sehari', 'hari', 'dalam', 'bahasa', 'inggris']","['membantu', 'mempelajari', 'kosa', 'bahasa', 'inggris', 'paham', 'bahasa', 'sehari', 'bahasa', 'inggris']",bantu ajar kosa bahasa inggris paham bahasa hari bahasa inggris,128,Positif
2025-10-20 23:06:14,Pengguna Google,5,bagus banget ak jadi bis bahasa inggris kerenn,bagus banget ak jadi bis bahasa inggris kerenn,bagus banget ak jadi bis bahasa inggris kerenn,bagus banget aku jadi bis bahasa inggris keren,"['bagus', 'banget', 'aku', 'jadi', 'bis', 'bahasa', 'inggris', 'keren']","['bagus', 'banget', 'bis', 'bahasa', 'inggris', 'keren']",bagus banget bis bahasa inggris keren,46,Positif
2025-10-20 23:00:04,Pengguna Google,5,"Bagus sekali! Ini sangat berguna untuk belajar bahasa yang kita tidak ketahui, tidak ada kekurangan. Bintang 5!",Bagus sekali Ini sangat berguna untuk belajar bahasa yang kita tidak ketahui tidak ada kekurangan Bintang ,bagus sekali ini sangat berguna untuk belajar bahasa yang kita tidak ketahui tidak ada kekurangan bintang ,bagus sekali ini sangat berguna untuk belajar bahasa yang kita tidak ketahui tidak ada kekurangan bintang,"['bagus', 'sekali', 'ini', 'sangat', 'berguna', 'untuk', 'belajar', 'bahasa', 'yang', 'kita', 'tidak', 'ketahui', 'tidak', 'ada', 'kekurangan', 'bintang']","['bagus', 'berguna', 'belajar', 'bahasa', 'ketahui', 'kekurangan', 'bintang']",bagus guna ajar bahasa tahu kurang bintang,106,Positif
2025-10-20 22:58:09,Pengguna Google,1,"gara gara pemeliharaan, projek runtutan 1 bulan gw gagal",gara gara pemeliharaan projek runtutan  bulan gw gagal,gara gara pemeliharaan projek runtutan  bulan gw gagal,gara gara pemeliharaan projek runtutan bulan gue gagal,"['gara', 'gara', 'pemeliharaan', 'projek', 'runtutan', 'bulan', 'gue', 'gagal']","['gara', 'gara', 'pemeliharaan', 'projek', 'runtutan', 'gue', 'gagal']",gara gara pelihara projek runtut gue gagal,54,Netral
2025-10-20 22:58:02,Pengguna Google,5,bagus banget pas aku coba pertama langsung bisa BHS inggris sama musik😃😃😃,bagus banget pas aku coba pertama langsung bisa BHS inggris sama musik,bagus banget pas aku coba pertama langsung bisa bhs inggris sama musik,bagus banget pas aku coba pertama langsung bisa bahasa inggris sama musik,"['bagus', 'banget', 'pas', 'aku', 'coba', 'pertama', 'langsung', 'bisa', 'bahasa', 'inggris', 'sama', 'musik']","['bagus', 'banget', 'pas', 'coba', 'langsung', 'bahasa', 'inggris', 'musik']",bagus banget pas coba langsung bahasa inggris musik,70,Positif
2025-10-20 22:56:15,Pengguna Google,5,TECHNOLOGYA,TECHNOLOGYA,technologya,technologya,['technologya'],['technologya'],technologya,11,Netral
2025-10-20 22:55:17,Pengguna Google,5,belajar di sini tuh asikkk bgt,belajar di sini tuh asikkk bgt,belajar di sini tuh asikkk bgt,belajar di sini tuh asik banget,"['belajar', 'di', 'sini', 'tuh', 'asik', 'banget']","['belajar', 'tuh', 'asik', 'banget']",ajar tuh asik banget,30,Positif
2025-10-20 22:53:51,Pengguna Google,5,"seru, gampang,kadang kalo dibagian suara itu ga bisa di pencet lagi, ya, tapi worth lah ya,saya sudah bisa bahasa Mandarin",seru gampangkadang kalo dibagian suara itu ga bisa di pencet lagi ya tapi worth lah yasaya sudah bisa bahasa Mandarin,seru gampangkadang kalo dibagian suara itu ga bisa di pencet lagi ya tapi worth lah yasaya sudah bisa bahasa mandarin,seru gampangkadang kalau dibagian suara itu tidak bisa di pencet lagi ya tapi worth lah yasaya sudah bisa bahasa mandarin,"['seru', 'gampangkadang', 'kalau', 'dibagian', 'suara', 'itu', 'tidak', 'bisa', 'di', 'pencet', 'lagi', 'ya', 'tapi', 'worth', 'lah', 'yasaya', 'sudah', 'bisa', 'bahasa', 'mandarin']","['seru', 'gampangkadang', 'dibagian', 'suara', 'pencet', 'ya', 'worth', 'yasaya', 'bahasa', 'mandarin']",seru gampangkadang bagi suara pencet ya worth yasaya bahasa mandarin,117,Positif
2025-10-20 22:49:15,Pengguna Google,5,aplikasi belajar yang sangat seru,aplikasi belajar yang sangat seru,aplikasi belajar yang sangat seru,aplikasi belajar yang sangat seru,"['aplikasi', 'belajar', 'yang', 'sangat', 'seru']","['aplikasi', 'belajar', 'seru']",aplikasi ajar seru,33,Positif
2025-10-20 22:46:59,Pengguna Google,5,aku bisa belajar disini,aku bisa belajar disini,aku bisa belajar disini,aku bisa belajar disini,"['aku', 'bisa', 'belajar', 'disini']",['belajar'],ajar,23,Positif
2025-10-20 22:44:06,Pengguna Google,5,aplikasi yang cukup bagus,aplikasi yang cukup bagus,aplikasi yang cukup bagus,aplikasi yang cukup bagus,"['aplikasi', 'yang', 'cukup', 'bagus']","['aplikasi', 'bagus']",aplikasi bagus,25,Positif
2025-10-20 22:36:52,Pengguna Google,5,duo lungo seru banget,duo lungo seru banget,duo lungo seru banget,duo lungo seru banget,"['duo', 'lungo', 'seru', 'banget']","['duo', 'lungo', 'seru', 'banget']",duo lungo seru banget,21,Positif
2025-10-20 22:11:39,Pengguna Google,5,sangat menyenangkan dan bermanfaat,sangat menyenangkan dan bermanfaat,sangat menyenangkan dan bermanfaat,sangat menyenangkan dan bermanfaat,"['sangat', 'menyenangkan', 'dan', 'bermanfaat']","['menyenangkan', 'bermanfaat']",senang manfaat,34,Positif
2025-10-20 21:58:34,Pengguna Google,5,dulu gak bisa bahasa inggris sekarang bisa,dulu gak bisa bahasa inggris sekarang bisa,dulu gak bisa bahasa inggris sekarang bisa,dulu tidak bisa bahasa inggris sekarang bisa,"['dulu', 'tidak', 'bisa', 'bahasa', 'inggris', 'sekarang', 'bisa']","['bahasa', 'inggris']",bahasa inggris,42,Positif
2025-10-20 21:46:50,Pengguna Google,5,"Bagus banget, bisa cepet ngerti sama metode pembelajaranya",Bagus banget bisa cepet ngerti sama metode pembelajaranya,bagus banget bisa cepet ngerti sama metode pembelajaranya,bagus banget bisa cepat mengerti sama metode pembelajaranya,"['bagus', 'banget', 'bisa', 'cepat', 'mengerti', 'sama', 'metode', 'pembelajaranya']","['bagus', 'banget', 'cepat', 'mengerti', 'metode', 'pembelajaranya']",bagus banget cepat erti metode pembelajaranya,57,Positif
2025-10-20 21:38:51,Pengguna Google,5,bagus kita bisa juga belajar sambil bermain,bagus kita bisa juga belajar sambil bermain,bagus kita bisa juga belajar sambil bermain,bagus kita bisa juga belajar sambil bermain,"['bagus', 'kita', 'bisa', 'juga', 'belajar', 'sambil', 'bermain']","['bagus', 'belajar', 'bermain']",bagus ajar main,43,Positif
2025-10-20 18:56:31,Pengguna Google,1,aku gk bisa,aku gk bisa,aku gk bisa,aku tidak bisa,"['aku', 'tidak', 'bisa']",[],,11,Netral
2025-10-20 18:36:52,Pengguna Google,5,"Duolingo why did my streak suddenly become 1 even though I tried so hard until day 11, but you think I didn't study at all 🥹",Duolingo why did my streak suddenly become  even though I tried so hard until day  but you think I didnt study at all ,duolingo why did my streak suddenly become  even though i tried so hard until day  but you think i didnt study at all ,duolingo why did my streak suddenly become even though i tried sok hard until day but you think i didnt study at all,"['duolingo', 'why', 'did', 'my', 'streak', 'suddenly', 'become', 'even', 'though', 'i', 'tried', 'sok', 'hard', 'until', 'day', 'but', 'you', 'think', 'i', 'didnt', 'study', 'at', 'all']","['duolingo', 'why', 'did', 'my', 'streak', 'suddenly', 'become', 'even', 'though', 'i', 'tried', 'sok', 'hard', 'until', 'day', 'but', 'you', 'think', 'i', 'didnt', 'study', 'at', 'all']",duolingo why did my streak suddenly become even though i tried sok hard until day but you think i didnt study at all,118,Negatif
2025-10-20 18:35:58,Pengguna Google,3,"mungkin sekarang ada pemeliharaan ya? tapi kok akun ku ke reset padahal aku udah selesaikan runtunan nya, jadinya yg tadi runtunan nya 45 jadi 1 lagi 😭",mungkin sekarang ada pemeliharaan ya tapi kok akun ku ke reset padahal aku udah selesaikan runtunan nya jadinya yg tadi runtunan nya  jadi  lagi ,mungkin sekarang ada pemeliharaan ya tapi kok akun ku ke reset padahal aku udah selesaikan runtunan nya jadinya yg tadi runtunan nya  jadi  lagi ,mungkin sekarang ada pemeliharaan ya tapi kok akun ku ke reset padahal aku sudah selesaikan runtunan ya jadinya yang tadi runtunan ya jadi lagi,"['mungkin', 'sekarang', 'ada', 'pemeliharaan', 'ya', 'tapi', 'kok', 'akun', 'ku', 'ke', 'reset', 'padahal', 'aku', 'sudah', 'selesaikan', 'runtunan', 'ya', 'jadinya', 'yang', 'tadi', 'runtunan', 'ya', 'jadi', 'lagi']","['pemeliharaan', 'ya', 'akun', 'ku', 'reset', 'selesaikan', 'runtunan', 'ya', 'runtunan', 'ya']",pelihara ya akun ku reset selesai runtun ya runtun ya,145,Netral
2025-10-20 18:35:11,Pengguna Google,5,ini kenapa duolingo ku maintenance yaa?,ini kenapa duolingo ku maintenance yaa,ini kenapa duolingo ku maintenance yaa,ini kenapa duolingo ku maintenance ya,"['ini', 'kenapa', 'duolingo', 'ku', 'maintenance', 'ya']","['duolingo', 'ku', 'maintenance', 'ya']",duolingo ku maintenance ya,38,Positif
2025-10-20 17:33:06,Pengguna Google,2,"tolonglah dualingo, runtutan saya sudah hampir 150 tapi sekarang balik lagi ke angka 1 tidak tahu penyebab nya apa, ini maksudnya gimana ya???!!! mohon diperbaiki",tolonglah dualingo runtutan saya sudah hampir  tapi sekarang balik lagi ke angka  tidak tahu penyebab nya apa ini maksudnya gimana ya mohon diperbaiki,tolonglah dualingo runtutan saya sudah hampir  tapi sekarang balik lagi ke angka  tidak tahu penyebab nya apa ini maksudnya gimana ya mohon diperbaiki,tolonglah dualingo runtutan saya sudah hampir tapi sekarang balik lagi ke angka tidak tahu penyebab ya apa ini maksudnya bagaimana ya mohon diperbaiki,"['tolonglah', 'dualingo', 'runtutan', 'saya', 'sudah', 'hampir', 'tapi', 'sekarang', 'balik', 'lagi', 'ke', 'angka', 'tidak', 'tahu', 'penyebab', 'ya', 'apa', 'ini', 'maksudnya', 'bagaimana', 'ya', 'mohon', 'diperbaiki']","['tolonglah', 'dualingo', 'runtutan', 'angka', 'penyebab', 'ya', 'maksudnya', 'ya', 'mohon', 'diperbaiki']",tolong dualingo runtut angka sebab ya maksud ya mohon baik,150,Negatif
2025-10-20 17:32:56,Pengguna Google,1,"streak gua tiba tiba ke reset sendiri, udah day 130 ngulang dari awal, padahal udah ngerjain hari itu",streak gua tiba tiba ke reset sendiri udah day  ngulang dari awal padahal udah ngerjain hari itu,streak gua tiba tiba ke reset sendiri udah day  ngulang dari awal padahal udah ngerjain hari itu,streak gua tiba tiba ke reset sendiri sudah day ngulang dari awal padahal sudah ngerjain hari itu,"['streak', 'gua', 'tiba', 'tiba', 'ke', 'reset', 'sendiri', 'sudah', 'day', 'ngulang', 'dari', 'awal', 'padahal', 'sudah', 'ngerjain', 'hari', 'itu']","['streak', 'gua', 'reset', 'day', 'ngulang', 'ngerjain']",streak gua reset day ngulang ngerjain,96,Negatif
2025-10-20 17:29:26,Pengguna Google,1,"ga jelas ngebug runtutannya udah 3 kali ngerjain masa ga jalan jalan progressnya, lagi di maintenance apa gimana",ga jelas ngebug runtutannya udah  kali ngerjain masa ga jalan jalan progressnya lagi di maintenance apa gimana,ga jelas ngebug runtutannya udah  kali ngerjain masa ga jalan jalan progressnya lagi di maintenance apa gimana,tidak jelas ngebug runtutannya sudah kali ngerjain masa tidak jalan jalan progressnya lagi di maintenance apa bagaimana,"['tidak', 'jelas', 'ngebug', 'runtutannya', 'sudah', 'kali', 'ngerjain', 'masa', 'tidak', 'jalan', 'jalan', 'progressnya', 'lagi', 'di', 'maintenance', 'apa', 'bagaimana']","['ngebug', 'runtutannya', 'kali', 'ngerjain', 'jalan', 'jalan', 'progressnya', 'maintenance']",ngebug runtut kali ngerjain jalan jalan progressnya maintenance,110,Netral
2025-10-20 17:27:00,Pengguna Google,5,aplikasi belajar bahasa yang bagus,aplikasi belajar bahasa yang bagus,aplikasi belajar bahasa yang bagus,aplikasi belajar bahasa yang bagus,"['aplikasi', 'belajar', 'bahasa', 'yang', 'bagus']","['aplikasi', 'belajar', 'bahasa', 'bagus']",aplikasi ajar bahasa bagus,34,Positif
2025-10-20 17:12:13,Pengguna Google,1,"kenapa api beruntun saya balik lagi ke 1hari ya, padahal udah belajar ke 161 hari saya",kenapa api beruntun saya balik lagi ke hari ya padahal udah belajar ke  hari saya,kenapa api beruntun saya balik lagi ke hari ya padahal udah belajar ke  hari saya,kenapa api beruntun saya balik lagi ke hari ya padahal sudah belajar ke hari saya,"['kenapa', 'api', 'beruntun', 'saya', 'balik', 'lagi', 'ke', 'hari', 'ya', 'padahal', 'sudah', 'belajar', 'ke', 'hari', 'saya']","['api', 'beruntun', 'ya', 'belajar']",api untun ya ajar,81,Positif
2025-10-20 17:01:33,Pengguna Google,2,kok gak bisa digunakan nih apk,kok gak bisa digunakan nih apk,kok gak bisa digunakan nih apk,kok tidak bisa digunakan nih apk,"['kok', 'tidak', 'bisa', 'digunakan', 'nih', 'apk']","['nih', 'apk']",nih apk,30,Netral
